t,x,y,z
12.69,-2.826667245365502,-2.1002752424825855,21.95702048575532
12.700000000000001,-2.7643974130021234,-2.2549045528449065,21.439323658103675
12.71,-2.722980408998773,-2.4188194105462917,20.93846754114342
12.72,-2.701708944400602,-2.5921964854292714,20.45455653815182
12.73,-2.699854557352987,-2.7755149062070408,19.987807968718524
12.74,-2.716667613101514,-2.969556260463488,19.53855206874549
12.75,-2.751377303991979,-3.1754045946531932,19.107231990446962
12.76,-2.8031916494703886,-3.3944464141014286,18.694403802349495
12.77,-2.87129749608296,-3.6283706830041584,18.30073648929193
12.780000000000001,-2.9552456176120403,-3.87881839951726,17.927092254635937
12.790000000000001,-3.0556580099903483,-4.1468425787548515,17.57447167227628
12.8,-3.172931766610064,-4.433951643816771,17.243908140659205
12.81,-3.307488899239849,-4.741727774913037,16.936766862704637
12.82,-3.459795898699356,-5.071806900296537,16.654752644560624
12.83,-3.6303637348592313,-5.425878696263032,16.39990989560334
12.84,-3.8197478566411136,-5.805686587151153,16.174622628437078
12.85,-4.028548192017633,-6.213027745342405,15.981614458894239
12.86,-4.2573954394556255,-6.649634428012011,15.82393430967942
12.870000000000001,-4.506899841554545,-7.114995616476907,15.704809112000712
12.88,-4.778464006232573,-7.611318431736993,15.628540377705518
12.89,-5.073460330831812,-8.141033820456714,15.600105015965694
12.9,-5.392955029847386,-8.705163731231456,15.624927614081585
12.91,-5.737708134927484,-9.303321114587613,15.708880437482012
12.92,-6.108173494873361,-9.933709922982594,15.858283429724258
12.93,-6.504498775639337,-10.593125110804833,16.07990421249408
12.94,-6.926525460332794,-11.276952634373766,16.380958085605695
12.950000000000001,-7.373788849214263,-11.979169451939978,16.769108027001877
12.96,-7.845518059697099,-12.692343523684691,17.25246469275365
12.97,-8.340636026347958,-13.407633811720515,17.8395864170607
12.98,-8.856874393184148,-14.115580219556369,18.5367086863042
12.99,-9.389847198090937,-14.801239341033254,19.347701528528574
13.0,-9.93518155026061,-15.443131059622353,20.278987143685406
13.01,-10.486971926245902,-16.019482558080043,21.331546313311254
13.02,-11.037722535117783,-16.508360075140885,22.50069001354251
13.030000000000001,-11.578347318465568,-16.88766890551768,23.776059415115615
13.040000000000001,-12.098169950396514,-17.1351533999012,25.14162588336613
13.05,-12.584923837536412,-17.228396964960623,26.575690978230128
13.06,-13.02499096024447,-17.144328868718716,28.0513879848141
13.07,-13.408322047910273,-16.856708828357622,29.54256916873557
13.08,-13.720145213640519,-16.370816397894885,31.000429083501945
13.09,-13.946288411077152,-15.702894989299184,32.375743633435775
13.1,-14.076445500822487,-14.871060616993834,33.62760060602747
13.11,-14.104176250439215,-13.895301897856793,34.72339967193527
13.120000000000001,-14.026906334450373,-12.797480051220454,35.63885238498542
13.13,-13.845927334339427,-11.601328898872453,36.35798218217152
13.14,-13.566396738550177,-10.332454865054485,36.87312438365554
13.15,-13.194547161168813,-9.027303666826505,37.181270668942844
13.16,-12.734282330572551,-7.746463285530251,37.27935565274915
13.17,-12.19927895644258,-6.523846710360499,37.18062712657024
13.18,-11.60385712429199,-5.385344921733856,36.90332577694089
13.19,-10.96227140634794,-4.350826593678787,36.46977488810296
13.200000000000001,-10.288710861551543,-3.4341380938354593,35.90638034200528
13.21,-9.597299035558347,-2.6431034834563754,35.24363061830407
13.22,-8.90209396073761,-1.9795245174053928,34.51609679436231
13.23,-8.216416060976856,-1.4364032052307616,33.751787322522944
13.24,-7.549871984642814,-1.0005073865307819,32.958754943743266
13.25,-6.909884113246479,-0.6620106114313771,32.15033706875875
13.26,-6.302482724308737,-0.4103629336673935,31.33785120898753
13.27,-5.732303922253827,-0.23421310335481738,30.530388782654985
13.280000000000001,-5.202589638409254,-0.12140856699076275,29.734815114793605
13.290000000000001,-4.715187631006151,-0.05899546745353712,28.95576943724355
13.3,-4.270528017441637,-0.03383310686927256,28.195670541755902
13.31,-3.867546189710642,-0.040283580189147496,27.455232047009567
13.32,-3.504754060908104,-0.07287177819915412,26.734760177484723
13.33,-3.180492541545072,-0.12579062354875403,26.034355405492775
13.34,-2.8928787891295045,-0.19416275136944325,25.353896776996198
13.35,-2.639806208166272,-0.27404050927475204,24.693041911608542
13.36,-2.418944450157151,-0.3624059573602451,24.051227002594437
13.370000000000001,-2.2277159646095,-0.4571404166937375,23.427712604834003
13.38,-2.063648320022569,-0.5566611762913574,22.8219231071089
13.39,-1.9248291692671533,-0.6597596319709962,22.23331857345995
13.4,-1.8093858673304197,-0.7656287517732571,21.661386307476327
13.41,-1.7154434785461057,-0.8738585534866197,21.10565506172156
13.42,-1.6411247765945214,-0.9844361046474412,20.565695037733523
13.43,-1.584550244502549,-1.0977455225399555,20.041117886024438
13.44,-1.5438935221468326,-1.2145247751581003,19.53158664337868
13.450000000000001,-1.518073555133953,-1.3353145045983041,19.036880281500732
13.46,-1.5063967229231925,-1.4606410795576354,18.556795940739136
13.47,-1.5081806646351998,-1.5912460582917065,18.09117966917619
13.48,-1.5227756535793808,-1.728066937116528,17.63993874506889
13.49,-1.5495645972538934,-1.8722371504085293,17.20304167684883
13.5,-1.587963037345648,-2.0250860706045595,16.78051820312221
13.51,-1.6374467417068324,-2.1881197900049996,16.372468465229446
13.52,-1.6980389213322173,-2.3626469002158985,15.979125737370088
13.530000000000001,-1.7700303834592142,-2.549933205596803,15.600704944388449
13.540000000000001,-1.853736409884116,-2.751430712366951,15.23755278699397
13.55,-1.9495410584149555,-2.968754499312496,14.890188705179115
13.56,-2.0578971628714555,-3.203682717786377,14.559304878219628
13.57,-2.179326333085039,-3.4581565917083514,14.24576622467447
13.58,-2.314418954898832,-3.734280417564993,13.950610402385827
13.59,-2.4638970188188574,-4.034170310235846,13.675153564832799
13.6,-2.6289550673907054,-4.359555574798602,13.421199698173213
13.61,-2.810720415696008,-4.713188762497537,13.190163903699199
13.620000000000001,-3.0103799443561505,-5.097834399749936,12.984006612141163
13.63,-3.2292303846317942,-5.516097889553089,12.805366395478401
13.64,-3.4686783184230885,-5.970425511484699,12.657559966938862
13.65,-3.7302401782695354,-6.4631044217026155,12.54458218099931
13.66,-4.015542247350019,-6.996262652944899,12.471106033385285
13.67,-4.326320659482809,-7.571869114529823,12.44248266107109
13.68,-4.66442139912556,-8.191733592355874,12.464741342279812
13.69,-5.031741116266238,-8.857357290687217,12.544534464497817
13.700000000000001,-5.42877672627419,-9.566487392951863,12.688412334696705
13.71,-5.857655608098489,-10.32086727557626,12.90683831967887
13.72,-6.320606051633651,-11.121510451429797,13.21152008089772
13.73,-6.818799495410389,-11.965644619053561,13.614074005827002
13.74,-7.352350526595684,-12.846711662660454,14.12602520796081
13.75,-7.920316880992775,-13.754367652135207,14.758807526813607
13.76,-8.520699443041176,-14.674482843034362,15.52376352792021
13.77,-9.150442245816656,-15.589141676586287,16.432144502835786
13.780000000000001,-9.805432471031374,-16.476642779691318,17.49511046913607
13.790000000000001,-10.480500407676557,-17.311499559047014,18.72372973581003
13.8,-11.16807940476645,-18.06925585736587,20.12109495121096
13.81,-11.85640605505443,-18.710134627110683,21.68045527245015
13.82,-12.531878787926734,-19.18821834336723,23.38964697327612
13.83,-13.179143216013284,-19.464215281157813,25.225719757806083
13.84,-13.781092135187677,-19.505459515441277,27.154936760525924
13.85,-14.318865524567194,-19.28591092111299,29.132774546290214
13.86,-14.771850546512796,-18.786155173004847,31.103923110322192
13.870000000000001,-15.11884447184908,-17.988953011502907,33.00297087413138
13.88,-15.345073498019328,-16.88890837496552,34.76117352050208
13.89,-15.435135585678513,-15.551529764633205,36.31457653095456
13.9,-15.379332918780882,-14.04298769200546,37.6134817371989
13.91,-15.175029109465727,-12.420806837375487,38.62339018112929
13.92,-14.826649198057378,-10.733866049830208,39.32500211482396
13.93,-14.345679653065211,-9.022398347250247,39.714217000545226
13.94,-13.750668371183641,-7.317990916309942,39.80213351073947
13.950000000000001,-13.057603982876707,-5.679939875553549,39.615534107811136
13.96,-12.2812104813682,-4.182279755160936,39.19187059271962
13.97,-11.445061994728526,-2.8527686070827185,38.57111985524324
13.98,-10.57120108720221,-1.7068517793957252,37.79547794884212
13.99,-9.680114204239917,-0.7477524682868006,36.909361791982406
14.0,-8.790731672498453,0.03352828194719937,35.95940916813625
14.01,-7.919914036493166,0.6549453469585179,34.98413730980313
