t,theta,omega
5.38,-0.5089749515950747,0.8464871977810218
5.39,-0.500252400831325,0.8921741589483712
5.4,-0.4910756741480622,0.9370018869662535
5.41,-0.48145441816920626,0.9809298358461027
5.42,-0.47139880212312435,1.0239177003840958
5.43,-0.4609195178426339,1.0659254161611367
5.44,-0.4500277797650012,1.1069131595428616
5.45,-0.4387353249319446,1.1468413476796278
5.46,-0.4270544129896295,1.1856706385065328
5.47,-0.41499782618867165,1.2233619307434012
5.48,-0.40257827123941675,1.2598786023391761
5.49,-0.3898004457165432,1.2952127503315833
5.5,-0.37667465126077954,1.329330343041339
5.51,-0.3632142342039253,1.3621878179270397
5.5200000000000005,-0.3494327210129389,1.3937437797775045
5.53,-0.3353438182899425,1.4239590007117635
5.54,-0.3209614127722147,1.452796420179075
5.55,-0.3062995713321954,1.4802211449589142
5.5600000000000005,-0.29137254097748316,1.506200449160978
5.57,-0.2761947488508407,1.5307037742251757
5.58,-0.26078080223018696,1.5537027289216436
5.59,-0.24514548852860182,1.575171089350735
5.6000000000000005,-0.2293037752943243,1.5950847989430246
5.61,-0.21327081021075747,1.613421968459301
5.62,-0.19706192109646042,1.6301628759905786
5.63,-0.18069261590515348,1.6452899669580887
5.64,-0.16417858272571723,1.6587878541132828
5.65,-0.14753568978219084,1.6706433175378326
5.66,-0.13077998543377795,1.680845304643626
5.67,-0.11392769817483778,1.6893849301727746
5.68,-0.09699523663489124,1.6962554761976076
5.69,-0.07999918957861774,1.7014523921206748
5.7,-0.06295632590586114,1.7049732946747438
5.71,-0.04588359465162106,1.7068179679228033
5.72,-0.028798124986058715,1.7069883632580616
5.73,-0.011717226214493726,1.7054885994039455
5.74,0.0053416122225896645,1.7023249624141021
5.75,0.022360720749551533,1.6975059056723985
5.76,0.03932224965559056,1.6910420498929206
5.7700000000000005,0.056208169094746796,1.6829461831199735
5.78,0.07300026908589535,1.6732332607280833
5.79,0.08968038838233579,1.6619203130597242
5.8,0.10624050611646234,1.649021761780583
5.8100000000000005,0.12266854858948328,1.6345537528416827
5.82,0.13894736070765168,1.6185356885709528
5.83,0.155060206859371,1.6009882818352605
5.84,0.1709907709151893,1.5819335560404184
5.8500000000000005,0.18672315622780206,1.5613948451311783
5.86,0.20224188563204665,1.5393967935912416
5.87,0.2175319014449107,1.515965356443246
5.88,0.23257856546552647,1.4911277992487741
5.89,0.24736765897517216,1.4649126981083511
5.9,0.2618853827372736,1.4373499396614422
5.91,0.2761183569973984,1.4084707210864627
5.92,0.2900536214832644,1.3783075501007633
5.93,0.30367863540473417,1.34689424496064
5.94,0.31698127745381727,1.3142659344613281
5.95,0.3299498458046661,1.280459057937015
5.96,0.34257305811358224,1.2455113652608212
5.97,0.3548400515190127,1.2094619168448133
